"","AU","TI","SO","PY","Variety","Coder","Removed","Reason"
"23","RANDALL V","THE MAKING OF LOCAL CHILD DAYCARE REGIMES: PAST AND FUTURE","POLICY AND POLITICS",2004,"Tyneside",NA,NA,NA
"24","PALMER NAO;PEALING R;IRELAND RS;MARTIN MV","A STUDY OF PROPHYLACTIC ANTIBIOTIC PRESCRIBING IN NATIONAL HEALTH SERVICE GENERAL DENTAL PRACTICE IN ENGLAND","BRITISH DENTAL JOURNAL",2000,"Tyneside",NA,NA,NA
"25","PALMER NAO;PEALING R;IRELAND RS;MARTIN MV","A STUDY OF THERAPEUTIC ANTIBIOTIC PRESCRIBING IN NATIONAL HEALTH SERVICE GENERAL DENTAL PRACTICE IN ENGLAND","BRITISH DENTAL JOURNAL",2000,"Tyneside",NA,NA,NA
"26","JONES CM;WORTHINGTON H","THE RELATIONSHIP BETWEEN WATER FLUORIDATION AND SOCIOECONOMIC DEPRIVATION ON TOOTH DECAY IN 5-YEAR-OLD CHILDREN","BRITISH DENTAL JOURNAL",1999,"Tyneside",NA,NA,NA
"27","MILROY L","THE PREPAUSAL CONSTRAINT IN TYNESIDE ENGLISH: A DISCOURSE LEVEL MECHANISM OF LINGUISTIC CHANGE","SALSA IV - PROCEEDINGS OF THE FOURTH ANNUAL SYMPOSIUM ABOUT LANGUAGE AND SOCIETY - AUSTIN",1997,"Tyneside",NA,NA,NA
"28","WILLIAMSON J","CANNY WRITERS - TYNESIDE DIALECT AND THE WRITING OF SECONDARY-SCHOOL STUDENTS","EDUCATIONAL STUDIES",1995,"Tyneside",NA,NA,NA
"29","WEI L;MILROY L","CONVERSATIONAL CODE-SWITCHING IN A CHINESE COMMUNITY IN BRITAIN - A SEQUENTIAL-ANALYSIS","JOURNAL OF PRAGMATICS",1995,"Tyneside",NA,NA,NA
"30","FEHRINGER C;CORRIGAN KP","``THE GEORDIE ACCENT HAS A BIT OF A BAD REPUTATION'': INTERNAL AND EXTERNAL CONSTRAINTS ON STATIVE POSSESSION IN THE TYNESIDE ENGLISH OF THE 21ST CENTURY HAS POSSESSIVE GOT HAD ITS DAY?","ENGLISH TODAY",2015,"Tyneside",NA,NA,NA
"31","NANCE C","URBAN NORTH-EASTERN ENGLISH: TYNESIDE TO TEESSIDE.","ENGLISH WORLD-WIDE",2014,"Tyneside",NA,NA,NA
"32","JANSEN S","URBAN NORTH-EASTERN ENGLISH: TYNESIDE TO TEESSIDE (DIALECTS OF ENGLISH)","ENGLISH STUDIES",2013,"Tyneside",NA,NA,NA
"33","LOCAL JK;KELLY J;WELLS WHG","TOWARDS A PHONOLOGY OF CONVERSATION - TURN-TAKING IN TYNESIDE ENGLISH","JOURNAL OF LINGUISTICS",1986,"Tyneside",NA,NA,NA
"34","WALLACE SJ;WORRALL L;LE DORZE C;FOULKES J;ROSE TA","MANY WAYS OF MEASURING: A SCOPING REVIEW OF MEASUREMENT INSTRUMENTS FOR USE WITH PEOPLE WITH APHASIA","APHASIOLOGY",NA,"Birmingham",NA,NA,NA
"35","ARBUTHNOTT K;HAJAT S;HEAVISIDE S","YEARS OF LIFE LOST AND MORTALITY DUE TO HEAT AND COLD IN THE THREE LARGEST ENGLISH CITIES","ENVIRONMENT INTERNATIONAL",2020,"Birmingham",NA,NA,NA
"36","GORMAN E;SHANKAR-HARI M;HOPKINS P;TUNNICLIFFE WS;PERKINS GD;SILVERSIDES J;MCGUIGAN P;JACKSON C;BOYLE R;MCFERRAN C;CAMPBELL C;MCFARLAND J;THOMPSON J;WILLIAMS B;CURLEY G;LAFFEY JG;CLARKE M;O'KANE C;MCAULEY DF","REPAIR OF ACUTE RESPIRATORY DISTRESS SYNDROME BY STROMAL CELL ADMINISTRATION IN COVID-19 (REALIST-COVID-19): A STRUCTURED SUMMARY OF A STUDY PROTOCOL FOR A RANDOMISED, CONTROLLED TRIAL","TRIALS",2020,"Birmingham",NA,NA,NA
"37","ARCHER-PARRE C;CAREY AM;ADCOCK K","THE BASKERVILLE PUNCHES: REVELATIONS OF CRAFTSMANSHIP","MIDLAND HISTORY",2020,"Birmingham",NA,NA,NA
"38","AL BAHAR F;CURTIS CE;ALHAMAD H;MARRIOTT JF","THE IMPACT OF A COMPUTERISED DECISION SUPPORT SYSTEM ON ANTIBIOTIC USAGE IN AN ENGLISH HOSPITAL","INTERNATIONAL JOURNAL OF CLINICAL PHARMACY",2020,"Birmingham",NA,NA,NA
"39","SIBANDA N","THE PRESS, SOCIETY AND THE COMING OF SOUND TO BIRMINGHAM","JOURNAL OF BRITISH CINEMA AND TELEVISION",2020,"Birmingham",NA,NA,NA
"40","BELL S;SALIBA V;RAMSAY M;MOUNIER-JACK S","WHAT HAVE WE LEARNT FROM MEASLES OUTBREAKS IN 3 ENGLISH CITIES? A QUALITATIVE EXPLORATION OF FACTORS INFLUENCING VACCINATION UPTAKE IN ROMANIAN AND ROMA ROMANIAN COMMUNITIES","BMC PUBLIC HEALTH",2020,"Birmingham",NA,NA,NA
"41","SALDER J","SPACES OF REGIONAL GOVERNANCE: A PERIODISATION APPROACH","ENVIRONMENT AND PLANNING C-POLITICS AND SPACE",2020,"Birmingham",NA,NA,NA
"42","HUANG J","A SHIFTING STANDARD: A STRATIFIED IDEOLOGICAL ECOLOGY IN A BIRMINGHAM CHINESE COMPLEMENTARY SCHOOL","JOURNAL OF MULTILINGUAL AND MULTICULTURAL DEVELOPMENT",2021,"Birmingham",NA,NA,NA
"43","JOHNSON J;RODRIGUEZ MA;AL SNIH S","LIFE-SPACE MOBILITY IN THE ELDERLY: CURRENT PERSPECTIVES","CLINICAL INTERVENTIONS IN AGING",2020,"Birmingham",NA,NA,NA
"44","VAN TUSSENBROEK G","AMSTERDAM'S CRYSTAL PALACE - A FORGOTTEN EXAMPLE OF BRITISH ENGINEERING (1858-1864)","CONSTRUCTION HISTORY-INTERNATIONAL JOURNAL OF THE CONSTRUCTION HISTORY SOCIETY",2020,"Birmingham",NA,NA,NA
"45","BELL S;SALIBA V;EVANS G;FLANAGAN S;GHEBREHEWET S;MCAUSLANE H;SIBAL S","RESPONDING TO MEASLES OUTBREAKS IN UNDERSERVED ROMA AND ROMANIAN POPULATIONS IN ENGLAND: THE CRITICAL ROLE OF COMMUNITY UNDERSTANDING AND ENGAGEMENT","EPIDEMIOLOGY AND INFECTION",2020,"Birmingham",NA,NA,NA
"46","BOCHKO VS;ZACHARCHUK EA","INDIVIDUALIZATION OF CITY DEVELOPMENT STRATEGIES: CASE OF EKATERINBURG AND BIRMINGHAM","EKONOMIKA REGIONA-ECONOMY OF REGION",2020,"Birmingham",NA,NA,NA
"47","EDER P;LIEBERT A;LODYGA M;KANIEWSKA M;KLOPOCKA M;RYDZEWSKA A;GHOSH S","THE INTRODUCTION OF THE IBD DISK IN POLAND - A NEW TOOL FOR ASSESSING DISABILITY IN PATIENTS WITH INFLAMMATORY BOWEL DISEASE","GASTROENTEROLOGY REVIEW-PRZEGLAD GASTROENTEROLOGICZNY",2020,"Birmingham",NA,NA,NA
"48","MAY A","FOOTBALL AND THE `MYSTERIOUS NATURE OF GLOBAL CAPITAL': A CASE STUDY OF BIRMINGHAM CITY FC AND BIRMINGHAM INTERNATIONAL HOLDINGS","INTERNATIONAL REVIEW FOR THE SOCIOLOGY OF SPORT",2019,"Birmingham",NA,NA,NA
"49","O'TOOLE T","GOVERNING AND CONTESTING MARGINALITY: MUSLIMS AND URBAN GOVERNANCE IN THE UK","JOURNAL OF ETHNIC AND MIGRATION STUDIES",NA,"Birmingham",NA,NA,NA
"50","SIHRE HK;GILL P;LINDENMEYER M;BERRISFORD G;JANKOVIC J;PATEL M;LEWIN J;FAZIL Q","UNDERSTANDING THE LIVED EXPERIENCES OF SEVERE POSTNATAL PSYCHIATRIC ILLNESSES IN ENGLISH SPEAKING SOUTH ASIAN WOMEN, LIVING IN THE UK: A QUALITATIVE STUDY PROTOCOL","BMJ OPEN",2019,"Birmingham",NA,NA,NA
"51","HOMEYER RS;ROBERTS KJ;SUTCLIFFE A;MIRZA D;QU Z;KLEMPNAUER J;SCHREM H","VENTILATION AFTER PANCREATICODUODENECTOMY INCREASES PERIOPERATIVE MORTALITY: IDENTIFICATION OF RISK FACTORS AND THEIR RELEVANCE IN GERMANY THAT DO NOT APPLY IN ENGLAND","HEPATOBILIARY \& PANCREATIC DISEASES INTERNATIONAL",2019,"Birmingham",NA,NA,NA
"52","DEEPRES R;ROBERTS D","THE PATH TO WOOLF WORKS AND THE LANGUAGE OF DESIGN","NEW THEATRE QUARTERLY",2019,"Birmingham",NA,NA,NA
"53","CRUICKSHANK J;ABBINNETT R","``NEOLIBERALISM, TECHNOCRACY AND HIGHER EDUCATION'' EDITORS' INTRODUCTION","SOCIAL EPISTEMOLOGY",2019,"Birmingham",NA,NA,NA
"54","PALLAN M;GRIFFIN T;HURLEY K;LANCASHIRE E;BLISSETT J;FREW E;GILL P;GRIFFITH L;JOLLY K;MCGEE E;PARRY J;THOMPSON JL;ADAB P","CULTURAL ADAPTATION OF A CHILDREN'S WEIGHT MANAGEMENT PROGRAMME: CHILD WEIGHT MANAGEMENT FOR ETHNICALLY DIVERSE COMMUNITIES (CHANGE) STUDY","BMC PUBLIC HEALTH",2019,"Birmingham",NA,NA,NA
"55","EADES L","SOCIAL REALITIES, BIOLOGICAL REALITIES: THE 24-WEEK FOETUS IN CONTEMPORARY ENGLISH ABORTION ACTIVISM","WOMENS STUDIES INTERNATIONAL FORUM",2019,"Birmingham",NA,NA,NA
"56","FOREY G;CHEUNG LME","THE BENEFITS OF EXPLICIT TEACHING OF LANGUAGE FOR CURRICULUM LEARNING IN THE PHYSICAL EDUCATION CLASSROOM","ENGLISH FOR SPECIFIC PURPOSES",2019,"Birmingham",NA,NA,NA
"57","SANTANGELO F","THE POLITICAL ORATORY OF ENOCH POWELL","CULTURA-RIVISTA DI FILOSOFIA LETTERATURA STORIA",2019,"Birmingham",NA,NA,NA
"58","CUBERES D;ROBERTS J;SECHEL C","HOUSEHOLD LOCATION IN ENGLISH CITIES","REGIONAL SCIENCE AND URBAN ECONOMICS",2019,"Birmingham",NA,NA,NA
"59","FAKARI FR;SIMBAR M;MODARES SZ;MAJD HA","OBSTETRIC TRIAGE SCALES; A NARRATIVE REVIEW","ARCHIVES OF ACADEMIC EMERGENCY MEDICINE",2019,"Birmingham",NA,NA,NA
"60","TYLER L","``RESPONDING TO THE THING THAT IT IS'': A STUDY OF NEW PLAY DEVELOPMENT IN ENGLISH THEATRES","STUDIES IN THEATRE AND PERFORMANCE",2019,"Birmingham",NA,NA,NA
"61","[ANONYMOUS] A","ANNUAL MEETING OF THE ASSOCIATION OF BRITISH NEUROLOGISTS, BIRMINGHAM, ENGLAND, MAY 9-11, 2018 ABSTRACTS","JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY",2018,"Birmingham",NA,NA,NA
"62","CRYMBLE A;DENNETT A;HITCHCOCK T","MODELLING REGIONAL IMBALANCES IN ENGLISH PLEBEIAN MIGRATION TO LATE EIGHTEENTH-CENTURY LONDON(DAGGER)","ECONOMIC HISTORY REVIEW",2018,"Birmingham",NA,NA,NA
"63","DEAVE T;KENDAL S;LINGAM R;DAY T;BAILEY E;GINJA S;NIGHTINGALE S;COAD J","A STUDY TO EVALUATE THE EFFECTIVENESS OF BEST BEGINNINGS' BABY BUDDY PHONE APP IN ENGLAND: A PROTOCOL PAPER","PRIMARY HEALTH CARE RESEARCH AND DEVELOPMENT",2018,"Birmingham",NA,NA,NA
"64","KONTOPANTELIS E;STEVENS RJ;HELMS PJ;EDWARDS D;DORAN T;ASHCROFT DM","SPATIAL DISTRIBUTION OF CLINICAL COMPUTER SYSTEMS IN PRIMARY CARE IN ENGLAND IN 2016 AND IMPLICATIONS FOR PRIMARY CARE ELECTRONIC MEDICAL RECORD DATABASES: A CROSS-SECTIONAL POPULATION STUDY","BMJ OPEN",2018,"Birmingham",NA,NA,NA
"65","VENERANDI A;QUATTRONE G;CAPRA L","A SCALABLE METHOD TO QUANTIFY THE RELATIONSHIP BETWEEN URBAN FORM AND SOCIO-ECONOMIC INDEXES","EPJ DATA SCIENCE",2018,"Birmingham",NA,NA,NA
"66","TORRE I;GOSLIN J;WHITE L;ZANATTO D","TRUST IN ARTIFICIAL VOICES: A ``CONGRUENCY EFFECT'' OF FIRST IMPRESSIONS AND BEHAVIOURAL EXPERIENCE","PROCEEDINGS OF THE TECHNOLOGY, MIND, AND SOCIETY CONFERENCE (TECHMINDSOCIETY'18)",2018,"Birmingham",NA,NA,NA
"67","QIAN M;WEI X;JANCOVIC P;RUSSELL M","THE UNIVERSITY OF BIRMINGHAM 2018 SPOKEN CALL SHARED TASK SYSTEMS","19TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION (INTERSPEECH 2018), VOLS 1-6: SPEECH RESEARCH FOR EMERGING MARKETS IN MULTILINGUAL SOCIETIES",2018,"Birmingham",NA,NA,NA
"68","ROONEY K","GODSAL BULLPUP 11005: THE STORY OF AN ENGLISH TEST RIFLE IN MONTREAL","ARMS \& ARMOUR",2018,"Birmingham",NA,NA,NA
"69","FUSTER-MARQUEZ M;GREGORI-SIGNES C","LEARNING FROM LEARNERS: A NON-STANDARD DIRECT APPROACH TO THE TEACHING OF WRITING SKILLS IN EFL IN A UNIVERSITY CONTEXT","INNOVATION IN LANGUAGE LEARNING AND TEACHING",2018,"Birmingham",NA,NA,NA
"70","CABRAL IC","FROM DILI TO DUNGANNON: AN ETHNOGRAPHIC STUDY OF TWO MULTILINGUAL MIGRANT FAMILIES FROM TIMOR-LESTE","INTERNATIONAL JOURNAL OF MULTILINGUALISM",2018,"Birmingham",NA,NA,NA
"71","GROSVENOR I;ROBERTS S","CHILDREN, PROPAGANDA AND WAR, 1914-1918: AN EXPLORATION OF VISUAL ARCHIVES IN ENGLISH CITY","HISTORIA Y MEMORIA DE LA EDUCACION",2018,"Birmingham",NA,NA,NA
"72","HADAWI A;CRABBE MJC","DEVELOPING A MISSION FOR FURTHER EDUCATION: CHANGING CULTURE USING NON-FINANCIAL AND INTANGIBLE VALUE","RESEARCH IN POST-COMPULSORY EDUCATION",2018,"Birmingham",NA,NA,NA
"73","ANANISARAB S","TOO TRUE TO BE GOOD AT THE 1932 MALVERN FESTIVAL","SHAW-THE JOURNAL OF BERNARD SHAW STUDIES",2018,"Birmingham",NA,NA,NA
"74","JACKSON D","THE SAMOVAR AND THE STEAM TRAIN: AN INTERVIEW WITH ALBERT FILOZOV","THEATRE DANCE AND PERFORMANCE TRAINING",2018,"Birmingham",NA,NA,NA
"75","LECKY DM;NAKIBONEKA-SSENABULYA D;NICHOLS P;TURNER K;CHUNG KT;THOMAS HL;MCCRAE LX;SHABIR S;MANZOOR S;ALVAREZ-BUYLLA A;SMITH S;MCNULTY C","INFORMING FUTURE RESEARCH FOR CARRIAGE OF MULTIRESISTANT GRAM-NEGATIVE BACTERIA: PROBLEMS WITH RECRUITING TO AN ENGLISH STOOL SAMPLE COMMUNITY PREVALENCE STUDY","BMJ OPEN",2017,"Birmingham",NA,NA,NA
"76","ALIVERTI A;SEOIGHE R","LOST IN TRANSLATION? EXAMINING THE ROLE OF COURT INTERPRETERS IN CASES INVOLVING FOREIGN NATIONAL DEFENDANTS IN ENGLAND AND WALES","NEW CRIMINAL LAW REVIEW",2017,"Birmingham",NA,NA,NA
"77","SYLVESTER L;MARCUS I;INGHAM R","A BILINGUAL THESAURUS OF EVERYDAY LIFE IN MEDIEVAL ENGLAND: SOME ISSUES AT THE INTERFACE OF SEMANTICS AND LEXICOGRAPHY","INTERNATIONAL JOURNAL OF LEXICOGRAPHY",2017,"Birmingham",NA,NA,NA
"78","MALIK S;CHAPAIN C;COMUNIAN R","RETHINKING CULTURAL DIVERSITY IN THE UK FILM SECTOR: PRACTICES IN COMMUNITY FILMMAKING","ORGANIZATION",2017,"Birmingham",NA,NA,NA
"79","BLACKLEDGE A;CREESE A","TRANSLANGUAGING AND THE BODY","INTERNATIONAL JOURNAL OF MULTILINGUALISM",2017,"Birmingham",NA,NA,NA
"80","SKELCHER C","AN ENTERPRISING MUNICIPALITY? MUNICIPALISATION, CORPORATISATION AND THE POLITICAL ECONOMY OF BIRMINGHAM CITY COUNCIL IN THE NINETEENTH AND TWENTY-FIRST CENTURIES","LOCAL GOVERNMENT STUDIES",2017,"Birmingham",NA,NA,NA
"81","BROWN M;CORMIER K","SOCIOLINGUISTIC VARIATION IN THE NATIVISATION OF BSL FINGERSPELLING","OPEN LINGUISTICS",2017,"Birmingham",NA,NA,NA
"82","THWAITES R;GLASBY J;LE MESURIER N;LITTLECHILD R","ROOM FOR ONE MORE? A REVIEW OF THE LITERATURE ON `INAPPROPRIATE' ADMISSIONS TO HOSPITAL FOR OLDER PEOPLE IN THE ENGLISH NHS","HEALTH \& SOCIAL CARE IN THE COMMUNITY",2017,"Birmingham",NA,NA,NA
"83","FERNER RE;ARONSON JK","NOMINAL ISOMERS (INCORRECT SPELLINGS OF MEDICINES ELUDING RESEARCHERS)-VARIANTS IN THE SPELLINGS OF DRUG NAMES IN PUBMED: A DATABASE REVIEW","BMJ-BRITISH MEDICAL JOURNAL",2016,"Birmingham",NA,NA,NA
"84","YDESEN C;MYERS K","THE IMPERIAL WELFARE STATE? DECOLONISATION, EDUCATION AND PROFESSIONAL INTERVENTIONS ON IMMIGRANT CHILDREN IN BIRMINGHAM, 1948-1971","PAEDAGOGICA HISTORICA",2016,"Birmingham",NA,NA,NA
"85","YDESEN C","CRAFTING THE ENGLISH WELFARE STATEINTERVENTIONS BY BIRMINGHAM LOCAL EDUCATION AUTHORITIES, 1948-1963","BRITISH EDUCATIONAL RESEARCH JOURNAL",2016,"Birmingham",NA,NA,NA
"86","SCHREM H;FOCKEN M;GUNSON B;REICHERT B;MIRZA D;KREIPE HH;NEIL D;KALTENBORN A;GOLDIS A;KRAUTH K;BECKER T;KLEMPNAUER J;NEUBERGER J","THE NEW LIVER ALLOCATION SCORE FOR TRANSPLANTATION IS VALIDATED AND IMPROVED TRANSPLANT SURVIVAL BENEFIT IN GERMANY BUT NOT IN THE UNITED KINGDOM","LIVER TRANSPLANTATION",2016,"Birmingham",NA,NA,NA
"87","EDWARDS TC;FREDERICKSEN RJ;CRANE HM;CRANE PK;KITAHATA MM;MATHEWS WC;MAYER KH;MORALES LS;MUGAVERO MJ;SOLORIO FM;PATRICK DL","CONTENT VALIDITY OF PATIENT-REPORTED OUTCOMES MEASUREMENT INFORMATION SYSTEM (PROMIS) ITEMS IN THE CONTEXT OF HIV CLINICAL CARE","QUALITY OF LIFE RESEARCH",2016,"Birmingham",NA,NA,NA
"88","SABOR P","JANE AUSTEN'S FIRST PUBLICATION: SOPHIA SENTIMENT REVISITED","WOMENS WRITING",2016,"Birmingham",NA,NA,NA
"89","MOXEY JM;JONES LL","A QUALITATIVE STUDY EXPLORING HOW SOMALI WOMEN EXPOSED TO FEMALE GENITAL MUTILATION EXPERIENCE AND PERCEIVE ANTENATAL AND INTRAPARTUM CARE IN ENGLAND","BMJ OPEN",2016,"Birmingham",NA,NA,NA
"90","SILVER S","JOHN EVELYN AND NUMISMATA: MATERIAL HISTORY AND AUTOBIOGRAPHY","WORD \& IMAGE",2015,"Birmingham",NA,NA,NA
"91","SHELLEY C","ENGLISH, CHRISTIAN OR MUSLIM LAW: DECONSTRUCTING SOME MYTHS","ISLAM AND CHRISTIAN-MUSLIM RELATIONS",2015,"Birmingham",NA,NA,NA
"92","MOREY P","THROUGH FRENCH EYES: VICTORIAN CITIES IN THE EIGHTEEN-FORTIES VIEWED BY LEON FAUCHER","HISTORICAL RESEARCH",2015,"Birmingham",NA,NA,NA
"93","DODD W","UNDER PRESSURE? THE ANGLICISMS DEBATE IN CONTEMPORARY GERMANY AS A BAROMETER OF GERMAN NATIONAL IDENTITY TODAY","GERMAN POLITICS AND SOCIETY",2015,"Birmingham",NA,NA,NA
"94","ANTENE P","BEYOND THE IVORY TOWER: CONFRONTING THE WORLD OUTSIDE ACADEMIA IN DON DELILLO'S WHITE NOISE AND DAVID LODGE'S NICE WORK","FROM THEORY TO PRACTICE 2014: PROCEEDINGS OF THE SIXTH INTERNATIONAL CONFERENCE ON ANGLOPHONE STUDIES",2015,"Birmingham",NA,NA,NA
"95","CREESE A;BLACKLEDGE A;TAKHI JK","THE IDEAL `NATIVE SPEAKER' TEACHER: NEGOTIATING AUTHENTICITY AND LEGITIMACY IN THE LANGUAGE CLASSROOM","MODERN LANGUAGE JOURNAL",2014,"Birmingham",NA,NA,NA
"96","BUETTNER E","`THIS IS STAFFORDSHIRE NOT ALABAMA': RACIAL GEOGRAPHIES OF COMMONWEALTH IMMIGRATION IN EARLY 1960S BRITAIN","JOURNAL OF IMPERIAL AND COMMONWEALTH HISTORY",2014,"Birmingham",NA,NA,NA
"97","PAKKAR-HULL D","MOSAIC: RE-IMAGINING THE MONOLINGUAL CLASSROOM THROUGH THEATRE-IN-EDUCATION","RIDE-THE JOURNAL OF APPLIED THEATRE AND PERFORMANCE",2014,"Birmingham",NA,NA,NA
"98","WATTS R","FEMALES IN SCIENCE: A CONTRADICTORY CONCEPT?","EDUCATIONAL RESEARCH",2014,"Birmingham",NA,NA,NA
"99","RITCH A","ENGLISH POOR LAW INSTITUTIONAL CARE FOR OLDER PEOPLE: IDENTIFYING THE `AGED AND INFIRM' AND THE `SICK' IN BIRMINGHAM WORKHOUSE, 1852-1912","SOCIAL HISTORY OF MEDICINE",2014,"Birmingham",NA,NA,NA
"100","WELLS S;REFSKOU ASH","SHAKESPEARE, GLOBALIZATION, AND THE DIGITAL REVOLUTION","NEW THEATRE QUARTERLY",2014,"Birmingham",NA,NA,NA
"101","SUTHERLAND R;SUTHERLAND J;FELLNER M;CLARK L","SCHOOLS FOR THE FUTURE: SUBTLE SHIFT OR SEISMIC CHANGE?","TECHNOLOGY PEDAGOGY AND EDUCATION",2014,"Birmingham",NA,NA,NA
