,Author,Title,Source,PubYear,DOI,Variety,Coder,Removed,Reason
20,BARRY C;HIRSH KW;JOHNSTON RA;WILLIAMS CL,"AGE OF ACQUISITION, WORD FREQUENCY, AND THE LOCUS OF REPETITION PRIMING OF PICTURE NAMING",JOURNAL OF MEMORY AND LANGUAGE,2001,10.1006/jmla.2000.2743,Kent,Caitlin,NA,NA
21,YUNUSOVA Y;WEISMER G;KENT RD;RUSCHE NM,BREATH-GROUP INTELLIGIBILITY IN DYSARTHRIA: CHARACTERISTICS AND UNDERLYING CORRELATES,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,2005,10.1044/1092-4388(2005/090),Kent,Caitlin,NA,NA
22,DITTRICH WH;JOHANSEN T;KULINSKAYA E,NORMS AND SITUATIONAL RULES OF ADDRESS IN ENGLISH AND NORWEGIAN SPEAKERS,JOURNAL OF PRAGMATICS,2011,10.1016/j.pragma.2011.09.006,Norfolk,Caitlin,NA,NA
23,STAGRAY JR;DOWNS D;SOMMERS RK,CONTRIBUTIONS OF SUBJECTIVE-TONE TO TONE-PHONEME IDENTIFICATION,JOURNAL OF PSYCHOLINGUISTIC RESEARCH,1992,NA,Kent,Caitlin,NA,NA
24,BINGER C;KENT-WALSH J;KING M,DYNAMIC ASSESSMENT FOR 3-AND 4-YEAR-OLD CHILDREN WHO USE AUGMENTATIVE AND ALTERNATIVE COMMUNICATION: EVALUATING EXPRESSIVE SYNTAX,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,2017,10.1044/2017\_JSLHR-L-15-0269,Kent,Caitlin,NA,NA
25,ONG J,A CASE STUDY OF CLASSROOM DISCOURSE ANALYSIS OF TEACHER'S FRONTED READING COMPREHENSION LESSONS FOR VOCABULARY LEARNING OPPORTUNITIES,RELC JOURNAL,2019,10.1177/0033688217730138,Kent,Caitlin,NA,NA
26,XUE P;ZHANG X;BAI J;WANG ZJ,ACOUSTIC AND KINEMATIC ANALYSES OF MANDARIN VOWELS IN SPEAKERS WITH HEARING IMPAIRMENT,CLINICAL LINGUISTICS \& PHONETICS,2018,10.1080/02699206.2017.1416492,Norfolk,Caitlin,NA,NA
27,MUSOLFF A,"TRUTHS, LIES AND FIGURATIVE SCENARIOS METAPHORS AT THE HEART OF BREXIT",JOURNAL OF LANGUAGE AND POLITICS,2017,10.1075/jlp.16033.mus,Norfolk,Caitlin,NA,NA
28,HORNSBY D,SOCIAL AND STYLISTIC VARIATIONS IN SPOKEN FRENCH: A COMPARATIVE APPROACH,MODERN LANGUAGE REVIEW,2002,10.2307/3738648,Kent,Caitlin,NA,NA
29,FURUKAWA H,A FEMINIST WOMAN WITH A GIVEN FEMALE LANGUAGE: A CONTRADICTORY FIGURE IN THE JAPANESE TRANSLATION OF MARGARET ATWOOD'S THE EDIBLE WOMAN,BABEL-REVUE INTERNATIONALE DE LA TRADUCTION-INTERNATIONAL JOURNAL OF TRANSLATION,2012,10.1075/babel.58.2.06fur,Norfolk,Caitlin,NA,NA
30,MILLER N;NOBLE E;JONES D;DEANE KHO;GIBB C,SURVEY OF SPEECH AND LANGUAGE THERAPY PROVISION FOR PEOPLE WITH PARKINSON'S DISEASE IN THE UNITED KINGDOM: PATIENTS' AND CARERS' PERSPECTIVES,INTERNATIONAL JOURNAL OF LANGUAGE \& COMMUNICATION DISORDERS,2011,10.3109/13682822.2010.484850,Norfolk,Caitlin,NA,NA
31,MITCHELL KJ;ZARAGOZA MS,REPEATED EXPOSURE TO SUGGESTION AND FALSE MEMORY: THE ROLE OF CONTEXTUAL VARIABILITY,JOURNAL OF MEMORY AND LANGUAGE,1996,10.1006/jmla.1996.0014,Kent,Caitlin,NA,NA
32,SCHMIDT AM;MEYERS KA,TRADITIONAL AND PHONOLOGICAL TREATMENT FOR TEACHING-ENGLISH FRICATIVES AND AFFRICATES TO KOREANS,JOURNAL OF SPEECH AND HEARING RESEARCH,1995,10.1044/jshr.3804.828,Kent,Caitlin,NA,NA
33,ARVANITI A;LADD DR,"UNDERSPECIFICATION IN INTONATION REVISITED: A REPLY TO XU, LEE, PROM-ON AND LIU",PHONOLOGY,2015,10.1017/S0952675715000305,Kent,Caitlin,NA,NA
34,CLAYTON I,PREASPIRATION IN HEBRIDES ENGLISH,JOURNAL OF THE INTERNATIONAL PHONETIC ASSOCIATION,2017,10.1017/S002510031700007X,Tyneside,Caitlin,NA,NA
35,ARVANITI A;RODRIQUEZ T,"THE ROLE OF RHYTHM CLASS, SPEAKING RATE, AND F-0 IN LANGUAGE DISCRIMINATION",LABORATORY PHONOLOGY,2013,10.1515/lp-2013-0002,Kent,Caitlin,NA,NA
36,MEAGHER BR;FOWLER CA,EMBEDDED ARTICULATION: SHIFTS IN LOCATION INFLUENCE SPEECH PRODUCTION,LANGUAGE COGNITION AND NEUROSCIENCE,2014,10.1080/01690965.2013.791704,Kent,Caitlin,NA,NA
37,KURUVILLA-DUGDALE M;SALAZAR M;ZHANG A;MEFFERD AS,DETECTION OF ARTICULATORY DEFICITS IN PARKINSON'S DISEASE: CAN SYSTEMATIC MANIPULATIONS OF PHONETIC COMPLEXITY HELP?,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,2020,10.1044/2020\_JSLHR-19-00245,Kent,Caitlin,NA,NA
38,BUNNING K;GONA JK;BUELL S;NEWTON CR;HARTLEY S,INVESTIGATION OF PRACTICES TO SUPPORT THE COMPLEX COMMUNICATION NEEDS OF CHILDREN WITH HEARING IMPAIRMENT AND CEREBRAL PALSY IN A RURAL DISTRICT OF KENYA: A CASE SERIES,INTERNATIONAL JOURNAL OF LANGUAGE \& COMMUNICATION DISORDERS,2013,10.1111/1460-6984.12042,Norfolk,Caitlin,NA,NA
39,JOHNSON RK;PREBOR J,UPDATE ON PRESERVICE TRAINING IN AUGMENTATIVE AND ALTERNATIVE COMMUNICATION FOR SPEECH-LANGUAGE PATHOLOGISTS,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,2019,10.1044/2018\_AJSLP-18-0004,Norfolk,Caitlin,NA,NA
40,WANG J;TAYLOR C,THE CONVENTIONALISATION OF MOCK POLITENESS IN CHINESE AND BRITISH ONLINE FORUMS,JOURNAL OF PRAGMATICS,2019,10.1016/j.pragma.2018.10.019,Lancashire,Caitlin,NA,NA
41,KENT RD;WEISMER G;KENT JF;ROSENBEK JC,TOWARD PHONETIC INTELLIGIBILITY TESTING IN DYSARTHRIA,JOURNAL OF SPEECH AND HEARING DISORDERS,1989,10.1044/jshd.5404.482,Kent,Caitlin,NA,NA
42,WANG YT;KENT RD;DUFFY JR;THOMAS JE;WEISMER G,ALTERNATING MOTION RATE AS AN INDEX OF SPEECH MOTOR DISORDER IN TRAUMATIC BRAIN INJURY,CLINICAL LINGUISTICS \& PHONETICS,2004,10.1080/02699200310001596160,Kent,Caitlin,NA,NA
43,RAYMER AM;KOHEN FP;SAFFELL D,COMPUTERISED TRAINING FOR IMPAIRMENTS OF WORD COMPREHENSION AND RETRIEVAL IN APHASIA,APHASIOLOGY,2006,10.1080/02687030500473312,Norfolk,Caitlin,NA,NA
44,MILTON J;FREEMAN R,LEXICAL VARIATION IN THE WRITING OF CHINESE LEARNERS OF ENGLISH,SYNCHRONIC CORPUS LINGUISTICS,1996,NA,Lancashire,Caitlin,NA,NA
45,MUMBY K;WHITWORTH A,ADJUSTMENT PROCESSES IN CHRONIC APHASIA AFTER STROKE: EXPLORING MULTIPLE PERSPECTIVES IN THE CONTEXT OF A COMMUNITY-BASED INTERVENTION,APHASIOLOGY,2013,10.1080/02687038.2013.772559,Tyneside,Caitlin,NA,NA
46,KENT RD;KIM YJ,TOWARD AN ACOUSTIC TYPOLOGY OF MOTOR SPEECH DISORDERS,CLINICAL LINGUISTICS \& PHONETICS,2003,10.1080/0269920031000086248,Kent,Caitlin,NA,NA
47,DE ALMEIDA BAIA MF;SOUZA AGUIAR JC,FORM AND FUNCTION IN PHONOLOGICAL DEVELOPMENT: WHEN A WORD IS A WORD,ENTREPALAVRAS,2020,10.22168/2237-6321-11750,Kent,Caitlin,NA,NA
48,PANAGOS JM;QUINE ME;KLICH RJ,SYNTACTIC AND PHONOLOGICAL INFLUENCES ON CHILDRENS ARTICULATION,JOURNAL OF SPEECH AND HEARING RESEARCH,1979,10.1044/jshr.2204.841,Kent,Caitlin,NA,NA
49,JACOBSON GP;GANS DP,ENDOGENOUS EVENT-RELATED POTENTIAL CORRELATES OF PHONEMIC DISCRIMINATION,FOLIA PHONIATRICA,1982,10.1159/000265632,Kent,Caitlin,NA,NA
50,MATTHEWS I;BANGHAM JA;COX S,AUDIOVISUAL SPEECH RECOGNITION USING MULTISCALE NONLINEAR IMAGE DECOMPOSITION,"ICSLP 96 - FOURTH INTERNATIONAL CONFERENCE ON SPOKEN LANGUAGE PROCESSING, PROCEEDINGS, VOLS 1-4",1996,NA,Norfolk,Caitlin,NA,NA
51,MCLAVERTY J,POPE HORATIAN POEMS - NEW VARIANT STATE,MODERN PHILOLOGY,1980,10.1086/390957,Staffordshire,Caitlin,NA,NA
52,MAX L;CARUSO AJ,ADAPTATION OF STUTTERING FREQUENCY DURING REPEATED READINGS: ASSOCIATED CHANGES IN ACOUSTIC PARAMETERS OF PERCEPTUALLY FLUENT SPEECH,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,1998,10.1044/jslhr.4106.1265,Kent,Caitlin,NA,NA
53,MURPHY KA;DIEHM EA,COLLECTING WORDS: A CLINICAL EXAMPLE OF A MORPHOLOGY-FOCUSED ORTHOGRAPHIC INTERVENTION,LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,2020,10.1044/2020\_LSHSS-19-00050,Norfolk,Caitlin,NA,NA
54,HASHI M;KENT RD;WESTBURY JR;LINDSTROM MJ,RELATING FORMANTS AND ARTICULATION IN INTELLIGIBILITY TEST WORDS,"ICSLP 96 - FOURTH INTERNATIONAL CONFERENCE ON SPOKEN LANGUAGE PROCESSING, PROCEEDINGS, VOLS 1-4",1996,NA,Kent,Caitlin,NA,NA
55,RAYMER AM;ROWLAND L;HALEY M;CROSSON B,NONSYMBOLIC MOVEMENT TRAINING TO IMPROVE SENTENCE GENERATION IN TRANSCORTICAL MOTOR APHASIA: A CASE STUDY,APHASIOLOGY,2002,10.1080/02687030244000239,Norfolk,Caitlin,NA,NA
56,MILLER RT;PESSOA S,ROLE AND GENRE EXPECTATIONS IN UNDERGRADUATE CASE ANALYSIS IN INFORMATION SYSTEMS,ENGLISH FOR SPECIFIC PURPOSES,2016,10.1016/j.esp.2016.06.003,Kent,Caitlin,NA,NA
57,MILLER N;DEANE KHO;JONES D;NOBLE E;GIBB C,NATIONAL SURVEY OF SPEECH AND LANGUAGE THERAPY PROVISION FOR PEOPLE WITH PARKINSON'S DISEASE IN THE UNITED KINGDOM: THERAPISTS' PRACTICES,INTERNATIONAL JOURNAL OF LANGUAGE \& COMMUNICATION DISORDERS,2011,10.3109/13682822.2010.484849,Norfolk,Caitlin,NA,NA
58,SHI YZ;LI CN,THE ESTABLISHMENT OF THE CLASSIFIER SYSTEM AND THE GRAMMATICALIZATION OF THE MORPHOSYNTACTIC PARTICLE DE IN CHINESE,LANGUAGE SCIENCES,2002,10.1016/S0388-0001(00)00048-6,Kent,Caitlin,NA,NA
59,INTHORN S,REPRESENTATIONS OF INTERGENERATIONAL CARE ON BBC CHILDREN'S TELEVISION,SOCIAL SEMIOTICS,2018,10.1080/10350330.2016.1237437,Norfolk,Caitlin,NA,NA
60,KENT RD,INFANTS AND SPEECH - SEEKING PATTERNS,JOURNAL OF PHONETICS,1993,10.1016/S0095-4470(19)31325-7,Kent,Caitlin,NA,NA
61,LIN MC;HARWOOD J;HUMMERT ML,YOUNG ADULTS' INTERGENERATIONAL COMMUNICATION SCHEMAS IN TAIWAN AND THE USA,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,2008,10.1177/0261927X07309510,Kent,Caitlin,NA,NA
62,DONAHER J;RICHELS C,TRAITS OF ATTENTION DEFICIT/HYPERACTIVITY DISORDER IN SCHOOL-AGE CHILDREN WHO STUTTER,JOURNAL OF FLUENCY DISORDERS,2012,10.1016/j.jfludis.2012.08.002,Norfolk,Caitlin,NA,NA
63,MOORE WH;SOMMERS RK,PHONETIC CONTEXTS - THEIR EFFECTS ON PERCEIVED INTELLIGIBILITY IN CLEFT-PALATE SPEAKERS,FOLIA PHONIATRICA,1975,10.1159/000264016,Kent,Caitlin,NA,NA
64,JAMES L,"FROM EGAN TO REYNOLDS THE SHAPING OF URBAN `MYSTERIES' IN ENGLAND AND FRANCE, 1821-48",EUROPEAN JOURNAL OF ENGLISH STUDIES,2010,10.1080/13825571003775356,Kent,Caitlin,NA,NA
65,DURKIN P,"MACKEMS, GEORDIES AND RAM-RAIDERS: DOCUMENTING REGIONAL VARIATION IN HISTORICAL DICTIONARIES",ENGLISH LANGUAGE \& LINGUISTICS,2015,10.1017/S1360674315000088,Tyneside,Caitlin,NA,NA
66,ZHANG H;MCLOUGHLIN I;SONG Y,ROBUST SOUND EVENT DETECTION IN CONTINUOUS AUDIO ENVIRONMENTS,"17TH ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION (INTERSPEECH 2016), VOLS 1-5: UNDERSTANDING SPEECH PROCESSING IN HUMANS AND MACHINES",2016,10.21437/Interspeech.2016-392,Kent,Caitlin,NA,NA
67,BOUNTRESS NG;SEVER JC,AN EXAMINATION OF 2 PROCEDURES FOR ASSESSING THE SPEECH-PERCEPTION OF PHONOLOGICALLY DISORDERED CHILDREN,JOURNAL OF COMMUNICATION DISORDERS,1990,10.1016/0021-9924(90)90017-S,Norfolk,Caitlin,NA,NA
68,ROSEN KM;GOOZEE JV;MURDOCH BE,EXAMINING THE EFFECTS OF MULTIPLE SCLEROSIS ON SPEECH PRODUCTION: DOES PHONETIC STRUCTURE MATTER?,JOURNAL OF COMMUNICATION DISORDERS,2008,10.1016/j.jcomdis.2007.03.009,Kent,Caitlin,NA,NA
69,LINDSTROMBERG S;BOERS F,PHONEMIC REPETITION AND THE LEARNING OF LEXICAL CHUNKS: THE POWER OF ASSONANCE,SYSTEM,2008,10.1016/j.system.2008.01.002,Kent,Caitlin,NA,NA
70,JEFFERIES E;CRISP J;RALPH MAL,THE IMPACT OF PHONOLOGICAL OR SEMANTIC IMPAIRMENT ON DELAYED AUDITORY REPETITION: EVIDENCE FROM STROKE APHASIA AND SEMANTIC DEMENTIA,APHASIOLOGY,2006,10.1080/02687030600739398,Tyneside,Caitlin,NA,NA
71,ARCHER D,(RE)INITIATING STRATEGIES - JUDGES AND DEFENDANTS IN EARLY MODERN ENGLISH COURTROOMS,JOURNAL OF HISTORICAL PRAGMATICS,2006,10.1075/jhp.7.2.03arc,Lancashire,Caitlin,NA,NA
72,LUDLOW CL;HOIT J;KENT R;RAMIG LO;SHRIVASTAV R;STRAND E;YORKSTON K;SAPIENZA CM,TRANSLATING PRINCIPLES OF NEURAL PLASTICITY INTO RESEARCH ON SPEECH MOTOR CONTROL RECOVERY AND REHABILITATION,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,2008,10.1044/1092-4388(2008/019),Kent,Caitlin,NA,NA
73,HALIKE B;JUMAI W,STUDY ON SEMANTIC CHANGE OF THE WORD ``KENT'' IN UYGHUR LANGUAGE,"PROCEEDINGS OF THE 5TH INTERNATIONAL CONFERENCE ON EDUCATION, LANGUAGE, ART AND INTER-CULTURAL COMMUNICATION (ICELAIC 2018)",2018,NA,Kent,Caitlin,NA,NA
74,JARVIS LH;DANKS JH;MERRIMAN WE,THE EFFECT OF BILINGUALISM ON COGNITIVE-ABILITY - A TEST OF THE LEVEL OF BILINGUALISM HYPOTHESIS,APPLIED PSYCHOLINGUISTICS,1995,10.1017/S0142716400007311,Kent,Caitlin,NA,NA
75,PENNINGTON MC;HOEKJE BJ,FRAMING ENGLISH LANGUAGE TEACHING,SYSTEM,2014,10.1016/j.system.2014.08.005,Cornwall,Caitlin,NA,NA
76,NIHALANI P,PRAGMATICS OF CO-ARTICULATION - TOWARDS ACHIEVING SOCIAL ACCEPTABILITY,IRAL-INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING,1993,NA,Kent,Caitlin,NA,NA
77,JANKE V;PEROVIC A,INTACT GRAMMAR IN HFA? EVIDENCE FROM CONTROL AND BINDING,LINGUA,2015,10.1016/j.lingua.2015.06.009,Kent,Caitlin,NA,NA
78,BOASE-BEIER J,TRANSLATING CELAN'S POETICS OF SILENCE,TARGET-INTERNATIONAL JOURNAL OF TRANSLATION STUDIES,2011,10.1075/target.23.2.02boa,Norfolk,Caitlin,NA,NA
79,WOLF A,THE SOCIOLINGUISTIC COMPETENCE OF IMMERSION STUDENTS.,JOURNAL OF FRENCH LANGUAGE STUDIES,2011,10.1017/S0959269511000330,Norfolk,Caitlin,NA,NA
80,LODGE K,"ASSIMILATION, DELETION PATHS AND UNDERSPECIFICATION",JOURNAL OF LINGUISTICS,1992,10.1017/S0022226700014985,Norfolk,Caitlin,NA,NA
81,WHITWORTH A;CARTWRIGHT J;BEALES A;LEITAO S;PANEGYRES PK;KANE R,TAKING WORDS TO A NEW LEVEL: A PRELIMINARY INVESTIGATION OF DISCOURSE INTERVENTION IN PRIMARY PROGRESSIVE APHASIA,APHASIOLOGY,2018,10.1080/02687038.2017.1390543,Kent,Liam,Yes,Not about language change
82,MCALLISTER J;COLLIER J,BIRTH WEIGHT AND STUTTERING: EVIDENCE FROM THREE BIRTH COHORTS,JOURNAL OF FLUENCY DISORDERS,2014,10.1016/j.jfludis.2013.10.002,Norfolk,Liam,Yes,Not about language change
83,POWER K,DURATIONAL MODELLING FOR IMPROVED CONNECTED DIGIT RECOGNITION,"ICSLP 96 - FOURTH INTERNATIONAL CONFERENCE ON SPOKEN LANGUAGE PROCESSING, PROCEEDINGS, VOLS 1-4",1996,NA,Suffolk,Liam,Yes,Not about language
84,SCHWARTZ K;RINGLEB SI;SANDBERG A;WATSON GS,DEVELOPMENT OF TRIVIA GAME FOR SPEECH UNDERSTANDING IN BACKGROUND NOISE,INTERNATIONAL JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,2015,10.3109/17549507.2014.979875,Norfolk,Liam,Yes,Not about language change
85,MYERS S,INNOVATION IN A CONSERVATIVE REGION: THE KENTISH SERMONS GENITIVE SYSTEM,ENGLISH LANGUAGE \& LINGUISTICS,2011,10.1017/S1360674311000116,Kent,Liam,Yes,Not about sound change
86,ZHANG ZV;HYLAND K,STUDENT ENGAGEMENT WITH TEACHER AND AUTOMATED FEEDBACK ON L2 WRITING,ASSESSING WRITING,2018,10.1016/j.asw.2018.02.004,Norfolk,Liam,Yes,Not about language change
87,PAGLIARULO G,WORD ORDER IN THE LINDISFARNE GLOSSES?,NEOPHILOLOGUS,2010,10.1007/s11061-010-9209-1,Northumbrian,Liam,Yes,Not about sound change
88,TRUDGILL P,DEBATE MEDIA AND LANGUAGE CHANGE,JOURNAL OF SOCIOLINGUISTICS,2014,10.1111/josl.12070,Norfolk,Liam,Yes,Not about specific variety
89,KENT RD;NETSELL R,EFFECTS OF STRESS CONTRASTS ON CERTAIN ARTICULATORY PARAMETERS,PHONETICA,1971,10.1159/000259350,Kent,Liam,Yes,Not about variety of interest
90,KIM CS;RUNNER JT,THE DIVISION OF LABOR IN EXPLANATIONS OF VERB PHRASE ELLIPSIS,LINGUISTICS AND PHILOSOPHY,2018,10.1007/s10988-017-9220-0,Kent,Liam,Yes,Not about language change
91,RUNDBLAD G;KRONENFELD DB,THE INEVITABILITY OF FOLK ETYMOLOGY: A CASE OF COLLECTIVE REALITY AND INVISIBLE HANDS,JOURNAL OF PRAGMATICS,2003,10.1016/S0378-2166(02)00059-0,Norfolk,Liam,Yes,Not about language
92,JIANG FK;HYLAND K,`THE GOAL OF THIS ANALYSIS ...': CHANGING PATTERNS OF METADISCURSIVE NOUNS IN DISCIPLINARY WRITING,LINGUA,2021,10.1016/j.lingua.2020.103017,Norfolk,Liam,Yes,Not about language change
93,MEYER R;MLEINEK I,HOW PROSODY SIGNALS FORCE AND FOCUS - A STUDY OF PITCH ACCENTS IN RUSSIAN YES-NO QUESTIONS,JOURNAL OF PRAGMATICS,2006,10.1016/j.pragma.2005.05.011,Lancashire,Liam,Yes,Not about variety of interest
94,COWIE R;DOUGLAS-COWIE E;WICHMANN A,PROSODIC CHARACTERISTICS OF SKILLED READING: FLUENCY AND EXPRESSIVENESS IN 8-10-YEAR-OLD READERS,LANGUAGE AND SPEECH,2002,10.1177/00238309020450010301,Lancashire,Liam,Yes,Not about language change
95,GUTHRIE S;LANCASTER J;STANSFIELD J,CONSENSUS-BUILDING ON DEVELOPING DYSPHAGIA COMPETENCE: A NORTH WEST OF ENGLAND PERSPECTIVE,INTERNATIONAL JOURNAL OF LANGUAGE \& COMMUNICATION DISORDERS,2017,10.1111/1460-6984.12321,Lancashire,Liam,Yes,Not about language change
96,CONSTANTINOU F;CHAMBERS L,NON-STANDARD ENGLISH IN UK STUDENTS' WRITING OVER TIME,LANGUAGE AND EDUCATION,2020,10.1080/09500782.2019.1702996,Tyneside,Liam,Yes,Not about sound change
97,SOBELL LC;SOBELL MB;COLEMAN RF,ALCOHOL-INDUCED DYSFLUENCY IN NON-ALCOHOLICS,FOLIA PHONIATRICA,1982,10.1159/000265672,Norfolk,Liam,Yes,Not about language change
98,LI J;ARNOLD HS;BESTE-GULDBORG A,REACTIONS OF PROTECTIVE SERVICE WORKERS TOWARDS PEOPLE WHO STUTTER,JOURNAL OF FLUENCY DISORDERS,2016,10.1016/j.jfludis.2016.08.001,Kent,Liam,Yes,Not about language change
